AnnualIncome,CreditScore,LoanAmount,MonthlyDebtPayments,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,RiskScore,LoanApproved
65732,560,18707,388,1237,306,8449,32609,59.0,0
20434,581,31257,384,1245,1211,6751,157551,52.0,0
67288,643,36034,232,2555,967,49917,14790,54.0,0
300000,607,29361,104,1514,786,105193,123162,52.0,1
147908,631,22850,251,1776,9120,14396,12646,36.8,1
32432,564,39628,1934,1049,1862,13429,16003,58.0,0
22753,606,37617,845,10293,1071,30346,42693,50.0,0
52587,527,15855,455,4113,1208,93599,36055,49.0,0
120004,634,18427,253,6109,973,118293,152288,37.6,1
57727,664,10796,219,2448,117,65071,7634,34.4,1
136716,531,30354,683,8833,1087,460851,8827,40.0,1
28883,548,26152,223,2300,8012,50172,27491,68.0,0
47578,490,34542,500,3104,90,181713,19045,58.0,0
49107,593,38781,217,1127,233,23136,15252,61.0,0
76850,582,17840,416,4543,310,136465,27176,37.6,1
73853,505,33788,365,966,476,14274,10449,57.0,0
95758,636,19467,390,1901,1100,115343,60190,36.0,1
50032,628,12333,319,2029,4198,121652,61696,49.0,0
102604,597,28322,428,289,505,38119,73653,51.0,0
40805,566,14736,577,25026,340,26982,22782,50.0,0
110035,447,29181,504,4628,1484,17321,2867,39.2,1
121871,468,17336,504,8060,1037,37572,1698,48.8,1
48565,629,20588,644,835,1031,22416,23317,53.0,0
39788,599,10568,441,1733,665,25188,133669,63.0,0
57913,568,18393,460,1211,11054,40865,21496,69.0,0
77186,545,17131,542,2979,2262,75876,40069,54.0,0
23525,640,42191,639,2973,1940,46089,25574,49.0,0
38020,616,13552,396,3103,720,14047,90258,54.0,0
76848,564,41545,1431,3869,2509,225197,10591,55.0,0
15000,559,28045,527,3339,1037,27910,21564,55.0,0
18195,559,12872,346,2858,544,37107,53909,61.0,0
31514,559,13338,727,718,342,45326,3754,54.0,0
49708,620,11233,259,11972,823,174901,19874,38.400000000000006,1
45415,610,42843,752,1416,455,274548,3265,43.0,0
45251,623,19962,485,4205,481,12090,88423,47.0,0
24165,580,23403,344,827,2390,24691,5802,51.0,0
164796,574,27989,266,7449,417,165698,3556,36.8,1
27737,457,38096,207,1875,634,44103,31532,55.0,0
17855,537,16301,342,4395,487,55732,46736,53.0,0
94277,637,33618,418,758,2841,27464,78447,42.400000000000006,1
26326,593,46948,301,1537,244,151281,11348,53.0,0
22885,566,30380,409,7134,3309,73179,67052,52.0,0
77361,583,26293,299,3581,172,79058,9314,43.2,1
33059,547,15333,696,11110,657,11767,23511,53.0,0
45931,573,9258,923,5668,2821,37673,23368,57.0,0
35150,549,13834,167,4640,451,48999,44287,59.0,0
33560,628,26380,228,15645,2394,98532,3459,54.0,0
24269,515,35118,271,2975,2040,69131,11517,62.0,0
27028,589,23204,260,2182,387,160447,3259,55.0,0
300000,563,12314,476,722,1922,72516,1213,48.0,1
21454,564,40916,775,1661,326,187107,21061,58.0,0
15000,490,53098,231,2968,424,22832,7358,55.0,0
108674,622,18158,317,1397,126,60941,14838,41.6,1
39729,510,77498,377,1346,960,46426,18066,58.0,0
44686,516,8134,782,10815,1962,97344,17112,68.0,0
34135,479,37949,486,2102,331,219914,9113,53.0,0
30049,489,40209,366,288,4992,43529,60369,58.0,0
37153,571,58498,388,9899,3776,23874,65347,51.0,0
110511,616,21296,571,386,508,24867,117728,36.0,1
39985,612,36805,267,5308,1282,21214,38458,51.0,0
80382,545,36970,489,4741,5951,13943,14938,54.0,0
46668,568,18410,279,1248,225,217133,106884,39.2,1
47521,634,42056,691,673,972,60691,63512,53.0,0
23383,582,23557,425,904,1654,39774,48327,57.0,0
192070,622,10299,283,6778,204,356139,43607,36.8,1
50097,625,28544,1347,1495,300,15609,76345,49.0,0
46580,576,19392,781,1919,2224,47764,10480,69.0,0
185502,527,34297,437,8939,320,105745,73191,40.0,1
51787,572,20849,593,1185,9428,127524,28550,49.0,0
67628,598,17247,389,6539,475,23740,21718,40.0,1
44175,510,31380,569,2141,995,135889,11429,51.0,0
34539,555,24581,479,1304,751,27816,16126,52.0,0
92356,540,17577,430,2579,2485,19918,7147,46.400000000000006,1
22519,528,14613,209,4583,2772,60842,7073,60.0,0
29904,545,14572,167,3447,1503,11276,17820,56.0,0
28606,609,28417,564,8139,232,90764,21532,49.0,0
70462,590,31200,183,2017,965,83342,23166,51.0,0
45130,520,31518,409,1732,1356,38306,31208,57.0,0
15000,493,24408,256,557,476,26054,60151,57.0,0
204539,657,32720,535,2514,6334,17972,58643,36.0,1
83755,634,24473,410,6389,2448,56033,20753,40.8,1
41021,518,16639,414,5952,908,49776,16255,59.0,0
91702,627,18310,233,8090,4297,54480,56265,56.0,0
59450,490,62900,1085,3101,2859,14464,49743,52.0,0
46849,648,18413,362,1518,797,50739,6757,49.0,0
75147,587,34774,208,3484,1689,41154,48152,54.0,0
49800,484,13515,509,4618,640,45034,14294,54.0,0
146548,603,31282,364,2512,2915,89259,2096,34.4,1
50427,613,34680,340,2945,2376,20572,24494,55.0,0
52563,617,9408,452,8289,583,30892,8140,43.2,1
43265,546,54297,310,2813,388,58424,2191,49.0,0
44674,591,37162,383,4597,413,25713,5132,52.0,0
35832,622,18972,680,11374,790,12483,57370,52.0,0
30399,521,30970,702,2868,3516,1280716,31663,36.8,1
29991,584,24818,243,3130,678,125652,47538,50.0,0
37335,550,21596,674,11259,1532,33650,265051,54.0,0
121649,592,20567,377,3445,1089,25164,5736,44.8,1
53314,615,17491,115,3214,209,69227,30979,62.0,0
47476,586,12403,505,454,663,30669,8972,56.0,0
37905,584,45514,272,1613,1009,12505,8870,54.0,0
39789,541,25561,1407,5157,189,47058,32821,54.0,0
108789,561,11740,188,933,515,26984,11970,45.6,1
38973,627,21643,518,4562,373,75986,5088,45.0,0
93911,609,34797,637,3936,1102,68561,135160,63.0,0
55638,612,15549,618,2273,734,349358,42770,38.400000000000006,1
44257,508,21755,369,891,7806,69897,11177,50.0,0
23949,545,52954,268,19682,2861,147700,52980,50.0,0
66930,489,41157,613,2662,1252,169824,12568,55.0,0
19357,514,27179,457,2444,2008,19982,34000,51.0,0
30437,580,19521,617,6848,178,50776,9187,56.0,0
30148,607,30032,442,2332,1344,84690,19849,46.0,0
29528,540,11607,492,6319,350,250969,114087,55.0,0
62876,594,21813,147,10005,697,135596,113954,42.400000000000006,1
95281,595,14709,302,493,918,25459,12966,51.0,0
62770,465,21313,223,8831,1671,94773,91115,66.0,0
57377,550,24478,246,3037,4291,21135,7526,55.0,0
39872,631,77447,985,4178,188,57940,16700,53.0,0
40181,602,17153,133,13544,449,19483,26495,47.0,0
28868,657,16111,341,2981,3773,7809,49223,48.0,0
15000,565,15971,1090,2947,2498,122757,19542,52.0,0
32405,620,20283,350,3805,6652,59523,22735,52.0,0
108621,612,26899,447,3905,3940,15335,3804,42.400000000000006,1
31946,619,60388,231,1616,4804,65734,2678,55.0,0
30728,603,18088,264,1743,892,18899,9077,49.0,0
115156,596,11143,289,2580,1249,242983,43202,41.6,1
15000,571,8744,280,2948,908,46345,36116,55.0,0
35260,573,25789,620,6584,2508,778453,40648,38.400000000000006,1
25453,595,20135,676,24250,558,24808,78206,55.0,0
46288,583,56139,208,1806,518,35493,72218,64.0,0
91521,623,38658,451,704,837,71744,8055,47.0,0
63886,567,31692,201,2938,258,282167,8243,48.0,0
108420,599,25619,400,1973,1749,9537,96829,42.400000000000006,1
54993,436,14357,210,2048,2753,131339,25673,48.0,0
49988,559,17543,661,1382,1518,46403,13450,60.0,0
156033,548,13613,181,3216,112,80334,32723,40.0,1
15000,618,21496,315,3422,926,160950,7454,55.0,0
192184,649,22791,480,873,132,61047,98689,38.400000000000006,1
213434,621,21870,611,3244,398,82784,39765,39.2,1
37557,543,35508,184,6450,1840,100139,20125,61.0,0
23965,470,36780,617,6171,2282,21967,5652,53.0,0
31525,552,20640,191,157,1161,143694,11781,47.0,0
32858,603,17245,322,2779,1227,100496,1807,51.0,0
101478,601,11687,650,893,1225,14390,50999,59.0,0
15000,648,19811,161,1991,161,26788,34554,52.0,0
192918,631,16125,454,502,1537,69635,13037,40.8,1
55662,650,45344,241,3139,1965,215654,45980,42.0,0
91484,567,13365,181,1431,7197,571809,31939,32.800000000000004,1
22528,550,65027,270,1178,2552,15182,53462,53.0,0
62081,581,17796,294,796,184,11831,16673,61.0,0
47454,509,31897,253,2056,1646,116543,25842,57.0,0
61196,509,18144,350,8837,2562,93127,33291,51.0,0
24355,480,41994,160,4931,925,69134,16981,56.0,0
47042,615,16109,514,9052,1516,42394,36974,50.0,0
26806,573,28811,534,870,1658,212878,10768,57.0,0
50823,596,9717,846,18064,801,19651,19109,65.0,0
132070,493,14127,355,692,1361,36690,53822,38.400000000000006,1
54050,577,12900,205,230,1589,132602,26500,40.0,1
15000,643,20672,1266,1096,1500,44344,22421,49.0,0
157310,606,10722,1381,8304,885,30563,15601,37.6,1
56261,532,41013,452,1970,2139,74576,20950,49.0,0
15000,594,20127,226,525,1161,7508,29244,68.0,0
15000,593,15295,519,592,498,259723,43063,55.0,0
27360,556,9038,238,4080,1096,58483,4253,52.0,0
73470,634,20058,272,5330,1187,20640,18737,50.0,0
27585,593,34324,448,5721,1171,98330,39128,53.0,0
30170,556,23617,593,1559,1403,28513,82837,59.0,0
86077,594,13834,735,4828,959,338988,17187,34.4,1
103960,613,26206,394,4620,2143,160626,59831,53.0,0
77809,563,16300,245,282,236,36731,34047,55.0,0
16958,491,10411,433,2571,816,17714,84674,54.0,0
119676,617,23473,519,3797,4883,85622,103766,36.8,1
40236,630,21938,528,363,1216,17419,7758,50.0,0
141595,586,22406,838,6065,359,56826,19492,48.0,1
44763,588,29517,262,12535,1115,105055,65758,59.0,0
85653,570,13761,1318,2031,2544,25829,13936,58.0,0
58130,632,17954,579,6120,517,20462,24954,47.0,0
70005,634,22024,607,2878,191,410804,208069,40.0,1
40498,547,12214,129,1147,861,22098,6145,61.0,0
96945,520,32209,436,21425,605,22571,8871,55.0,0
80097,462,23478,802,3550,687,20767,9057,60.0,0
32684,563,12317,565,3041,230,32490,39840,58.0,0
31956,534,18855,358,14522,726,46882,16877,53.0,0
29505,603,28622,466,3123,2727,23654,55559,54.0,0
63947,585,17407,1223,34131,2716,36847,7699,56.0,0
42959,581,11817,256,4009,1076,318316,4148,36.8,1
63168,597,9583,279,496,1576,177030,24355,42.400000000000006,1
27311,530,30390,771,591,1139,55194,10682,69.0,0
224926,645,17157,307,2494,516,9739,18542,44.0,1
19404,628,34088,392,520,519,99924,4003,56.0,0
84781,648,54028,700,4173,357,16732,137999,48.0,0
96740,623,15121,698,1330,2699,43068,30905,36.0,1
44537,605,43593,589,2172,4344,83036,75919,56.0,0
19580,569,15281,545,4972,2653,25939,46491,55.0,0
50172,487,10943,317,7641,812,37675,15378,53.0,0
127314,653,12358,376,2324,419,56132,22066,44.8,1
133594,594,35819,322,2825,570,39278,25952,43.2,1
75903,532,113452,613,3305,3048,35754,32582,56.0,0
36341,424,19330,351,1174,2394,22201,42438,60.0,0
62747,616,33517,258,3045,8576,106617,19698,48.0,0
63615,587,62838,332,2527,1142,26528,5342,51.0,0
80266,634,30329,476,1481,191,21964,23178,52.0,0
33490,634,39652,521,634,1651,168894,15996,46.0,0
72011,611,28303,609,3886,4680,39890,15011,55.0,0
66576,555,15526,613,2880,638,12303,15481,55.0,0
422480,518,50214,397,1756,2081,55293,9842,39.2,1
66239,496,30517,401,7430,3123,358899,101882,48.0,0
158303,624,34538,493,5341,16512,105976,68391,45.6,1
121911,632,24513,572,1934,14527,41898,78673,55.0,0
48895,585,33655,396,1236,1068,54110,95028,51.0,0
85188,571,35173,560,4193,186,21556,48899,66.0,0
24951,450,21181,1243,2443,291,48370,9303,52.0,0
59238,595,16829,196,9655,1087,22699,62132,65.0,0
32641,614,18481,581,1594,845,13222,37941,48.0,0
41482,501,15842,105,1590,332,77258,5636,54.0,0
15000,549,45418,353,1835,406,48136,14884,66.0,0
134679,588,7454,228,2738,3137,299424,8108,36.8,1
42408,644,45422,590,1031,4531,28401,3269,52.0,0
60659,593,8604,400,2164,7132,159929,13155,43.2,1
57262,605,37919,440,7748,654,31485,6515,50.0,0
38210,568,36950,380,6759,1096,128529,20522,52.0,0
21059,412,37535,446,715,1344,20027,48460,56.0,0
31081,619,18080,452,444,1812,219912,19964,52.0,0
44129,551,29275,439,4628,1469,42078,8151,56.0,0
33656,514,15790,464,3057,278,24870,22822,52.0,0
24627,515,25126,573,2404,2583,32312,15728,58.0,0
38728,642,23003,308,867,2944,80162,46291,53.0,0
75173,619,47414,539,20587,2748,23717,9849,54.0,0
66124,494,13893,844,680,1603,44255,28431,41.6,1
24493,492,19427,467,2715,1377,47611,39684,51.0,0
20060,511,18975,311,2331,5341,395985,45591,54.0,0
59112,591,8758,203,11316,2145,76290,444971,52.0,0
47389,639,23710,219,3922,2223,43568,35145,51.0,0
42523,648,32815,582,2462,583,53379,6698,48.0,0
82361,476,13060,578,693,4728,27089,44481,57.0,0
42875,561,31604,741,15548,1672,292349,15013,50.0,0
21601,577,18373,485,2129,1170,47791,14972,54.0,0
20235,539,38336,424,2419,1014,54227,25534,60.0,0
21168,584,13027,314,4100,1656,43071,8814,61.0,0
36496,480,28120,290,4127,1665,108877,22176,54.0,0
19274,538,23651,330,70414,452,70866,38387,59.0,0
15000,517,28503,562,2288,2854,163311,44788,51.0,0
15000,552,44507,484,2081,1416,26815,28661,59.0,0
166498,546,13018,1089,6104,1658,196781,20866,36.8,1
22641,579,25969,860,2280,2632,9071,26750,56.0,0
37167,566,15403,464,5820,765,58912,29832,53.0,0
45224,552,14451,220,3876,1515,115050,21543,51.0,0
48667,627,19414,611,10090,740,31666,2541,53.0,0
96720,607,19366,449,2570,7612,13839,3398,59.0,0
53532,619,21956,423,1549,403,118068,26612,54.0,0
40329,539,22823,317,4360,1691,6051,4497,50.0,0
55312,555,43720,445,657,616,89767,24966,57.0,0
55664,609,32278,710,3757,2499,120093,10088,50.0,0
54736,609,11036,923,3318,1077,39952,5086,57.0,0
93147,654,30116,526,3118,834,163938,39974,31.200000000000003,1
48069,597,34213,290,717,266,273178,21917,58.0,0
45908,641,27954,681,1418,3641,45534,14168,59.0,0
17729,583,25408,140,424,1353,12929,2301,63.0,0
43417,551,28791,235,2434,292,91307,7705,48.0,0
31313,530,16025,306,3606,683,154441,102853,53.0,0
77037,486,16070,1517,9205,421,47968,76226,51.0,0
19230,631,14415,320,988,7026,111230,36327,55.0,0
43299,573,6986,339,3521,949,63691,7829,42.400000000000006,1
30944,504,16434,258,828,1163,32460,21307,54.0,0
88321,596,12002,400,7642,2511,35360,34489,40.0,1
21441,586,16050,101,32036,710,32746,39640,57.0,0
61227,630,13954,524,1325,7241,42860,14080,66.0,0
45871,621,21628,212,892,247,126275,8853,47.0,0
64382,496,33091,1109,5081,2212,90712,76105,50.0,0
29865,582,16718,295,4524,3036,262340,20554,51.0,0
24756,627,41113,304,3439,719,408982,27429,44.0,0
64694,633,17451,304,13618,1003,111200,6764,43.0,0
22513,522,8072,124,3815,873,25266,7977,55.0,0
33458,593,23316,731,1415,74,116475,7263,59.0,0
35733,487,12140,539,4190,5609,102148,133021,54.0,0
55408,556,29000,269,28541,1200,97980,13256,50.0,0
21302,594,28519,388,2850,802,120196,45082,54.0,0
44145,563,25922,598,5944,214,39288,47377,55.0,0
55821,596,33557,438,2914,947,29112,25916,53.0,0
23368,591,14988,1109,2478,779,29802,22544,51.0,0
30625,600,17518,290,2324,534,77270,2027,47.0,0
68546,576,5773,359,23759,2077,72910,60345,40.8,1
36101,465,27390,324,17587,962,18679,65475,54.0,0
53975,671,25225,580,1275,472,105023,13630,43.0,0
78580,597,16496,239,5830,181,42716,22059,47.2,1
40751,584,9688,506,3574,677,65465,17544,56.0,0
122818,494,11144,451,2124,991,136415,40685,41.6,1
18038,639,12417,257,773,1867,20522,3546,58.0,0
32436,562,47961,230,314,921,440725,142164,61.0,0
64283,549,9878,508,2995,1302,160667,15499,43.2,1
31491,502,63678,406,2165,1128,16702,19390,61.0,0
54804,596,12675,272,6036,271,14251,36966,52.0,0
103883,492,7950,234,6262,905,30800,16004,46.400000000000006,1
27477,581,11715,665,8048,5883,265094,96553,58.0,0
69073,622,48397,657,1276,1550,42781,2959,47.0,0
78951,624,25899,338,1187,1460,29152,240967,56.0,0
47430,532,15729,579,1038,1233,116748,37946,52.0,0
51163,587,17552,758,4622,2323,50957,35732,59.0,0
25688,609,26365,425,3868,790,117301,49419,49.0,0
64435,619,33529,78,675,315,9086,33702,50.0,0
23373,601,37256,674,2933,1449,136343,6718,50.0,0
57366,596,16322,273,3822,1099,104674,21053,45.6,1
36806,602,8655,1383,2905,206,152579,9614,49.0,0
41748,431,32203,644,1387,2768,126820,9987,54.0,0
41210,462,15124,386,3633,1276,247888,36026,36.8,1
76620,609,50148,1087,5044,294,30308,38355,51.0,0
145021,508,44140,389,3780,16364,20144,10043,61.0,0
62365,611,12017,361,1759,129,285215,27345,35.2,1
36261,608,25397,565,832,1766,112356,89013,52.0,0
17960,589,7716,152,6533,294,69326,41505,54.0,0
100757,602,33228,716,2045,556,45539,26686,51.0,0
66910,566,3729,226,571,1516,22589,9296,44.8,1
38350,427,33003,737,2120,592,202251,42364,51.0,0
59762,597,44397,765,851,15172,215679,73427,51.0,0
78833,611,10478,371,1231,621,9581,32708,49.0,0
31217,515,24879,456,2308,1084,126595,8712,49.0,0
24664,430,6777,460,18042,6348,88380,21193,55.0,0
21850,603,20937,221,7718,2915,28006,211330,54.0,0
27375,644,14487,283,3519,3200,33009,37378,57.0,0
30051,556,23590,520,8588,3895,250927,27201,46.0,0
107007,573,23812,491,1583,664,68551,59747,44.8,1
43612,607,20901,449,1563,4455,279801,2778,46.0,0
59858,587,22122,336,470,6769,75671,10365,56.0,0
81315,521,6303,298,1247,111,21302,81079,52.0,0
67370,634,17033,1159,2087,3917,258947,10787,48.0,0
151952,622,8540,248,2292,451,44565,6572,35.2,1
42202,604,63106,475,18361,1087,19448,20790,67.0,0
38847,582,21882,638,2341,2247,74561,9019,57.0,0
45064,652,18148,308,2473,2072,11730,18844,49.0,0
184008,626,27495,525,2603,888,7457,17431,42.400000000000006,1
99164,605,47300,84,1322,2049,198143,14919,40.0,1
26383,498,15991,322,967,409,33438,6535,53.0,0
134951,593,6879,136,2925,1589,61967,53382,45.6,1
81171,475,10895,522,5524,708,13568,2252,71.0,0
54822,572,27052,434,4853,1235,43120,37426,58.0,0
56900,605,46568,728,839,4158,125373,182525,51.0,0
28563,598,35991,196,2016,485,52153,18191,60.0,0
56115,593,24026,803,348,899,24055,74254,59.0,0
31987,545,13356,333,2545,1506,18495,15122,63.0,0
48343,564,25223,177,3636,3141,96318,21129,43.2,1
80624,613,40120,669,1399,1883,57963,65098,46.0,0
40573,539,42138,550,2458,3260,51800,91996,56.0,0
40283,593,26526,186,7589,898,96206,27126,54.0,0
58483,618,11642,246,6880,4842,34627,73667,36.8,1
151905,694,34902,213,1041,2466,15585,12935,36.8,1
96088,406,38498,390,3994,2661,162273,15963,51.0,0
52763,629,15321,133,3848,1484,83779,52323,55.0,0
48483,642,24687,1511,1165,746,274541,10921,42.0,0
155598,617,20062,264,1036,847,26291,11295,40.8,1
15000,569,57848,509,2406,472,56562,46838,63.0,0
63718,577,14893,1056,3180,909,165028,12731,47.0,0
57404,607,15880,266,1233,826,55023,131034,38.400000000000006,1
69176,508,29570,795,5116,2947,40466,7835,57.0,0
74388,665,17910,361,1063,2970,121244,29461,38.400000000000006,1
126484,638,18851,436,1736,1514,19107,6140,46.400000000000006,1
72155,569,14946,379,2496,1239,42952,35123,42.400000000000006,1
17058,618,16012,327,6003,1384,11838,16956,61.0,0
20846,604,6065,868,1058,2531,95557,12141,62.0,0
49046,482,58464,629,1229,119,53461,10801,59.0,0
58562,454,19794,442,4916,226,8751,81847,58.0,0
111791,609,31234,305,2096,835,22478,537149,42.400000000000006,1
41805,606,20138,382,18060,555,103756,228383,49.0,0
15000,563,18599,267,4389,565,41144,137095,57.0,0
65422,614,17303,118,16719,971,23147,9827,39.2,1
38858,585,55356,360,6171,7161,169447,35312,57.0,0
52245,528,17590,713,3489,401,44757,2328,58.0,0
23284,636,20076,404,5293,1702,105585,99635,59.0,0
101576,622,22153,381,5670,174,32454,13875,48.0,0
25872,571,33683,300,2662,1028,12376,24013,59.0,0
59565,625,110702,114,552,714,35848,7893,57.0,0
52155,599,30428,232,2772,2781,192559,8759,47.0,0
57811,575,13200,763,9484,2625,44709,73746,42.400000000000006,1
27030,569,14979,223,486,792,123261,12613,47.0,0
26410,589,12913,771,2619,561,87141,111772,57.0,0
90238,641,25273,334,15176,1786,52756,28063,43.2,1
57908,519,17259,354,314,1060,56627,31659,52.0,0
60662,591,25521,495,4364,719,954090,37391,42.400000000000006,1
104614,506,74458,441,9501,1726,43868,26619,57.0,0
65504,629,18256,517,1743,7061,42909,47682,46.0,0
32869,599,32272,161,3453,352,84720,19892,60.0,0
61106,591,65498,804,13456,1169,261845,20123,48.0,0
72174,623,7230,427,2896,1703,70390,16939,56.0,0
71598,612,32884,571,3010,2180,236886,36375,36.0,1
38673,628,40083,223,5257,1471,78706,74588,51.0,0
25583,612,19495,328,6526,6214,36390,8253,63.0,0
64006,509,34627,596,3979,799,36094,30678,52.0,0
42246,621,28663,309,5983,2274,16938,25561,63.0,0
15177,630,35994,488,2128,349,14129,51984,49.0,0
15224,541,22655,102,9015,1351,57223,8118,52.0,0
24616,629,8259,301,20287,1452,21739,7896,53.0,0
90282,612,14256,384,9207,1718,44731,48492,43.2,1
53131,607,13500,160,7382,298,9563,16557,40.8,1
52518,591,15701,798,10856,318,17130,8856,55.0,0
66600,617,13826,484,3236,4365,25631,15295,53.0,0
29872,607,16719,826,294,745,14144,46569,55.0,0
80299,567,18593,478,10139,2074,594691,12081,40.8,1
86909,642,16852,534,4193,540,287129,93557,33.6,1
34669,565,37128,317,2773,508,65713,5297,56.0,0
90324,581,22468,271,6213,4256,30293,19623,51.0,0
79046,558,12632,143,2989,2311,149952,20353,41.6,1
23212,560,29141,358,4479,1021,87429,42426,55.0,0
45066,477,14533,623,789,555,42245,125052,64.0,0
35893,588,14828,548,1096,2294,170706,18971,49.0,0
67596,574,19611,1004,3295,671,259863,46116,39.2,1
23502,593,33365,233,5160,2280,225743,14793,48.0,0
35873,596,18633,412,19631,1415,194877,20975,52.0,0
77240,539,17143,301,2427,1052,205776,25301,41.6,1
19973,625,10009,605,5007,1558,242399,77908,49.0,0
45228,614,21243,279,2299,4857,459089,7867,43.0,0
27115,609,24962,673,2422,470,24510,61583,56.0,0
71945,590,17383,371,787,534,11011,31134,50.0,0
50976,548,29137,325,2278,2004,121339,72963,53.0,0
18536,535,12918,229,16700,872,136623,36854,60.0,0
35967,587,24481,607,5033,21823,26856,53213,62.0,0
49493,639,31671,425,2036,1100,230948,15986,51.0,0
15000,564,12107,411,4084,192,11230,21624,57.0,0
30594,596,15087,139,8257,2308,260351,8662,52.0,0
28669,552,7249,158,1146,3430,82774,65047,60.0,0
81172,518,20747,973,4069,780,59947,10431,49.0,0
47816,628,16152,275,1457,788,58226,121070,49.0,0
63441,508,14630,387,7960,2401,1289076,32923,36.0,1
36346,517,16929,529,879,1104,971520,19996,33.6,1
100445,646,24841,489,7859,353,36002,14617,74.0,0
16357,521,9442,285,9842,184,36445,76799,58.0,0
31486,604,29223,199,20339,274,20613,34392,60.0,0
45850,603,22254,485,2347,1597,25414,17124,55.0,0
57580,634,25395,289,2351,438,117499,2881,62.0,0
51649,570,16519,139,1052,1095,55526,49821,51.0,0
41376,571,14485,309,5999,2056,56989,190226,58.0,0
69444,596,10210,371,11077,7216,221515,42428,37.6,1
41461,472,34961,349,8970,3351,177024,24011,51.0,0
52740,596,42663,494,8171,438,98565,15951,57.0,0
24349,517,31538,434,1950,7499,106470,36994,51.0,0
21154,538,18408,240,1652,945,2597,11330,57.0,0
27655,592,29169,449,3099,1284,191608,15957,53.0,0
18807,648,14543,435,5216,1089,6985,56321,62.0,0
49214,587,13026,652,497,2901,22938,16552,52.0,0
96969,645,45585,420,7117,2319,607206,40984,35.2,1
31602,641,19318,687,2058,1298,23413,221817,51.0,0
104847,610,30281,352,7273,1195,410521,54077,31.200000000000003,1
65770,579,13664,222,2224,450,23800,10991,42.400000000000006,1
32566,552,16913,392,2053,837,63627,40284,55.0,0
40926,618,37765,235,6255,474,23450,18004,53.0,0
75824,576,51437,373,4783,478,86260,26419,53.0,0
17466,669,8201,176,1594,480,29959,16698,55.0,0
97702,602,17756,303,15275,525,15800,3854,43.2,1
61635,540,37740,434,8239,105,143970,27104,51.0,0
33640,552,36165,524,2289,1826,12644,31640,52.0,0
38109,430,31636,297,7251,571,59079,23876,65.0,0
121225,478,12487,387,3716,3896,40723,11448,47.2,1
16076,495,8112,497,562,221,98060,48645,54.0,0
46792,588,23324,588,8084,1904,9988,45164,58.0,0
75531,592,15645,736,676,7851,126406,57356,48.0,1
61009,642,24629,584,5107,463,18827,46640,40.0,1
48516,589,20947,660,977,1293,117508,60832,61.0,0
135335,484,47968,405,362,1258,6639,13464,53.0,0
20954,525,58209,173,1286,846,534384,89621,51.0,0
25619,605,27612,490,2412,790,11623,3931,48.0,0
15000,550,21159,232,8181,934,9115,12644,62.0,0
18598,561,20969,452,1937,336,172170,5185,49.0,0
33832,625,19835,212,55767,1674,57441,27008,49.0,0
90711,675,10024,1207,2619,211,30056,23341,35.2,1
72650,586,11385,460,1147,460,72856,19067,55.0,0
47364,617,12880,583,1102,440,68261,2697,56.0,0
46441,535,14829,369,8171,6688,141192,14202,53.0,0
118130,629,11610,549,10615,1765,30553,42750,36.8,1
39570,514,21404,1246,1152,1155,67099,255939,60.0,0
72019,527,11284,403,4514,249,62424,19135,51.0,0
101530,604,27491,592,1106,2476,56646,49498,52.0,0
21485,522,39331,367,857,1850,106782,32603,54.0,0
30840,660,26126,681,2227,1015,59888,7952,45.0,0
133999,572,23189,256,3135,1354,6080,70856,51.0,0
71744,620,15735,262,1432,4373,71533,52427,54.0,0
26294,578,24028,247,3217,877,178623,11992,51.0,0
33223,604,27011,434,2118,242,58616,76964,53.0,0
44766,559,17593,289,8093,398,8491,47411,51.0,0
106620,598,11961,400,4621,1058,62519,30511,44.0,1
111042,603,19408,434,5490,6548,26226,91956,36.8,1
88075,553,60293,1249,3380,3673,187649,38633,48.0,0
32645,534,16809,511,18243,1917,77592,10189,51.0,0
48835,514,19812,321,3875,251,213023,6830,39.2,1
24170,504,5363,428,12219,322,149452,37618,50.0,0
41716,602,19937,458,3499,254,10259,41721,49.0,0
22196,606,25282,460,3111,1766,176595,25392,54.0,0
29095,590,13855,832,8855,641,97547,7530,55.0,0
31626,541,10271,256,1700,214,100159,29394,53.0,0
50530,502,17173,384,4426,952,143530,135210,40.8,1
68255,568,19605,284,2142,9233,86937,9275,50.0,0
104739,603,14147,315,1601,2310,108397,27804,50.0,0
35442,543,16703,668,3576,600,123954,29230,58.0,0
76536,548,21002,272,8840,2244,39758,13880,51.0,0
40442,589,47653,369,8600,3450,16957,45442,53.0,0
81996,624,25157,367,1354,3376,42868,3110,55.0,0
18618,525,20035,618,10914,1523,110010,56899,52.0,0
34912,545,6520,445,13354,1347,27639,15726,59.0,0
100053,636,25706,1051,6964,1226,44077,35507,56.0,0
71059,520,16693,489,5112,1229,48832,10977,59.0,0
68168,584,15688,377,6581,252,50512,40189,55.0,0
114416,574,15914,514,763,541,38869,70967,62.0,0
17777,605,39532,437,749,1531,30673,15502,58.0,0
22075,600,28790,336,1112,1425,200338,41542,50.0,0
53977,545,54566,302,1614,1625,47932,48142,68.0,0
86859,615,9504,426,3841,259,67968,31225,40.8,1
